t,x,y,x_vel,y_vel
0.000000000,0.050000000,0.049816159,0.060000000,0.000000000
0.100000000,0.056000000,0.049816159,0.060000000,0.000000000
0.200000000,0.062000000,0.049816159,0.060000000,0.000000000
0.300000000,0.067977168,0.050339093,0.059771682,0.005229345
0.400000000,0.073886015,0.051380982,0.059088465,0.010418891
0.500000000,0.079794861,0.052422871,0.059088465,0.010418891
0.600000000,0.085590416,0.053975786,0.057955550,0.015529143
0.700000000,0.091228572,0.056027906,0.056381557,0.020521209
0.800000000,0.096666419,0.058563616,0.054378467,0.025357096
0.900000000,0.101862571,0.061563616,0.051961524,0.030000000
1.000000000,0.106777483,0.065005075,0.049149123,0.034414586
1.100000000,0.111373750,0.068861800,0.045962667,0.038567257
1.200000000,0.115616391,0.073104441,0.042426407,0.042426407
1.300000000,0.119473116,0.077700708,0.038567257,0.045962667
1.400000000,0.123329842,0.082296974,0.038567257,0.045962667
1.500000000,0.127186568,0.086893241,0.038567257,0.045962667
1.600000000,0.131043293,0.091489508,0.038567257,0.045962667
1.700000000,0.133579003,0.096927354,0.025357096,0.054378467
1.800000000,0.134620892,0.102836201,0.010418891,0.059088465
1.900000000,0.135143826,0.108813369,0.005229345,0.059771682
2.000000000,0.135143826,0.114813369,0.000000000,0.060000000
2.100000000,0.135143826,0.120813369,0.000000000,0.060000000
2.200000000,0.135666761,0.126790537,0.005229345,0.059771682
2.300000000,0.136708650,0.132699384,0.010418891,0.059088465
2.400000000,0.137750539,0.138608230,0.010418891,0.059088465
2.500000000,0.139303453,0.144403785,0.015529143,0.057955550
2.600000000,0.141355574,0.150041941,0.020521209,0.056381557
2.700000000,0.143407695,0.155680097,0.020521209,0.056381557
2.800000000,0.145943405,0.161117943,0.025357096,0.054378467
2.900000000,0.148943405,0.166314096,0.030000000,0.051961524
3.000000000,0.151943405,0.171510248,0.030000000,0.051961524
3.100000000,0.154943405,0.176706401,0.030000000,0.051961524
3.200000000,0.158193405,0.182335566,0.032500000,0.056291651
3.300000000,0.162208440,0.188069630,0.040150351,0.057340643
3.400000000,0.166223475,0.193803694,0.040150351,0.057340643
3.500000000,0.171044382,0.199549028,0.048209071,0.057453333
3.600000000,0.175865289,0.205294361,0.048209071,0.057453333
3.700000000,0.180686196,0.211039694,0.048209071,0.057453333
3.800000000,0.184988019,0.217183335,0.043018233,0.061436403
3.900000000,0.188738019,0.223678525,0.037500000,0.064951905
4.000000000,0.192488019,0.230173716,0.037500000,0.064951905
4.100000000,0.195868965,0.237424178,0.033809461,0.072504623
4.200000000,0.199461220,0.245127794,0.035922552,0.077036162
4.300000000,0.203264785,0.253284564,0.038035644,0.081567701
4.400000000,0.207279658,0.261894488,0.040148735,0.086099240
4.500000000,0.211505841,0.270957566,0.042261826,0.090630779
4.600000000,0.215732024,0.280020644,0.042261826,0.090630779
4.700000000,0.220732024,0.288680898,0.050000000,0.086602540
4.800000000,0.225732024,0.297341152,0.050000000,0.086602540
4.900000000,0.230982024,0.306434419,0.052500000,0.090932667
5.000000000,0.237004576,0.315035515,0.060225526,0.086010965
5.100000000,0.243313917,0.324046188,0.063093408,0.090106725
5.200000000,0.249910046,0.333466436,0.065961290,0.094202485
5.300000000,0.256792963,0.343296261,0.068829172,0.098298245
5.400000000,0.263962669,0.353535661,0.071697055,0.102394006
5.500000000,0.271132374,0.363775062,0.071697055,0.102394006
5.600000000,0.278302080,0.374014463,0.071697055,0.102394006
5.700000000,0.285471785,0.384253863,0.071697055,0.102394006
5.800000000,0.292641490,0.394493264,0.071697055,0.102394006
5.900000000,0.300097984,0.405142240,0.074564937,0.106489766
6.000000000,0.307841266,0.416200793,0.077432819,0.110585526
6.100000000,0.315871336,0.427668921,0.080300701,0.114681286
6.200000000,0.324188194,0.439546626,0.083168583,0.118777046
6.300000000,0.332791841,0.451833907,0.086036465,0.122872807
6.400000000,0.342755049,0.463707596,0.099632080,0.118736889
6.500000000,0.352718257,0.475581285,0.099632080,0.118736889
6.600000000,0.363678412,0.486541440,0.109601551,0.109601551
6.700000000,0.374638567,0.497501595,0.109601551,0.109601551
6.800000000,0.385598722,0.508461750,0.109601551,0.109601551
6.900000000,0.396912431,0.519775458,0.113137085,0.113137085
7.000000000,0.408579693,0.531442720,0.116672619,0.116672619
7.100000000,0.420246954,0.543109982,0.116672619,0.116672619
7.200000000,0.432886688,0.553715978,0.126397333,0.106059956
7.300000000,0.446402697,0.563179989,0.135160087,0.094640112
7.400000000,0.459918705,0.572644000,0.135160087,0.094640112
7.500000000,0.473434714,0.582108011,0.135160087,0.094640112
7.600000000,0.486950723,0.591572022,0.135160087,0.094640112
7.700000000,0.500466731,0.601036034,0.135160087,0.094640112
7.800000000,0.513982740,0.610500045,0.135160087,0.094640112
7.900000000,0.527498749,0.619964056,0.135160087,0.094640112
8.000000000,0.541014758,0.629428067,0.135160087,0.094640112
8.100000000,0.554530766,0.638892078,0.135160087,0.094640112
8.200000000,0.568046775,0.648356090,0.135160087,0.094640112
8.300000000,0.581562784,0.657820101,0.135160087,0.094640112
8.400000000,0.595078793,0.667284112,0.135160087,0.094640112
8.500000000,0.608594801,0.676748123,0.135160087,0.094640112
8.600000000,0.622110810,0.686212134,0.135160087,0.094640112
8.700000000,0.635626819,0.695676146,0.135160087,0.094640112
8.800000000,0.649142827,0.705140157,0.135160087,0.094640112
8.900000000,0.662658836,0.714604168,0.135160087,0.094640112
9.000000000,0.676174845,0.724068179,0.135160087,0.094640112
9.100000000,0.689690854,0.733532190,0.135160087,0.094640112
9.200000000,0.703206862,0.742996202,0.135160087,0.094640112
9.300000000,0.717496282,0.751246202,0.142894192,0.082500000
9.400000000,0.731785701,0.759496202,0.142894192,0.082500000
9.500000000,0.746075120,0.767746202,0.142894192,0.082500000
9.600000000,0.760364539,0.775996202,0.142894192,0.082500000
9.700000000,0.774653958,0.784246202,0.142894192,0.082500000
9.800000000,0.788943377,0.792496202,0.142894192,0.082500000
9.900000000,0.803665809,0.800996202,0.147224319,0.085000000
10.000000000,0.818821254,0.809746202,0.151554446,0.087500000
10.100000000,0.834409711,0.818746202,0.155884573,0.090000000
10.200000000,0.850431181,0.827996202,0.160214700,0.092500000
10.300000000,0.866885664,0.837496202,0.164544827,0.095000000
10.400000000,0.883773159,0.847246202,0.168874954,0.097500000
10.500000000,0.901446161,0.855487258,0.176730018,0.082410561
10.600000000,0.919770167,0.862156651,0.183240061,0.066693928
10.700000000,0.938605721,0.867203622,0.188355536,0.050469714
10.800000000,0.957809472,0.870589761,0.192037512,0.033861395
10.900000000,0.977013223,0.873975901,0.192037512,0.033861395
